toolkit,now,run,base_sym,quote_sym,top_bid_xch,top_ask_xch,bid_acct_bal_BTC,bid_acct_bal_USD,ask_acct_bal_BTC,ask_acct_bal_USD,top_bid_prc_USD,top_ask_prc_USD,top_bid_fee,top_ask_fee,bid_inc_fees_USD,ask_inc_fees_USD,profit_inc_fees_USD,pro_rata_bid_USD,pro_rata_ask_USD,PRORATA_PROFIT_USD,MAXPROFIT_USD,TTL_BALANCE_BTC_IN,TTL_BALANCE_US_IN,proceed,description
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_47_018028,807,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7040.01,7038.74,0.0007,0.00075,7035.081993,7044.023017262947,-8.941024262947394,70.35081993,70.44023017262947,-0.08941024262947395,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_47_310955,808,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7040.02,7039.05,0.0007,0.00075,7035.091986,7044.333249937454,-9.241263937453368,70.35091986,70.44333249937453,-0.09241263937453369,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_47_592381,809,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7040.02,7038.95,0.0007,0.00075,7035.091986,7044.233174881161,-9.141188881160815,70.35091986,70.44233174881161,-0.09141188881160815,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_47_891975,810,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7040.02,7039.05,0.0007,0.00075,7035.091986,7044.333249937454,-9.241263937453368,70.35091986,70.44333249937453,-0.09241263937453369,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_48_180469,811,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7040.02,7038.73,0.0007,0.00075,7035.091986,7044.013009757317,-8.921023757317016,70.35091986,70.44013009757317,-0.08921023757317016,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_48_467912,812,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7040.02,7038.72,0.0007,0.00075,7035.091986,7044.003002251689,-8.911016251689034,70.35091986,70.4400300225169,-0.08911016251689034,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_48_763045,813,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7040.01,7037.96,0.0007,0.00075,7035.081993,7043.242431823868,-8.16043882386839,70.35081993,70.43242431823869,-0.08160438823868389,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_49_042361,814,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7038.61,7037.31,0.0007,0.00075,7033.682972999999,7042.591943957969,-8.908970957970269,70.33682972999999,70.4259194395797,-0.08908970957970269,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_49_345395,815,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7038.39,7036.68,0.0007,0.00075,7033.463127,7041.961471103328,-8.498344103328236,70.33463127,70.41961471103329,-0.08498344103328236,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_49_653026,816,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7038.39,7036.68,0.0007,0.00075,7033.463127,7041.961471103328,-8.498344103328236,70.33463127,70.41961471103329,-0.08498344103328236,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
